,0
831,you ve been through all of
832,f scott fitzgerald s books
833,you re very well read
834,it s well known
835,but something is happening here
836,and you don t know what it is
837,do you mister jones
838,well the sword swallower he comes up to you
839,and then he kneels
840,he crosses himself
841,and then he clicks his high heels
842,and without further notice
843,he asks you how it feels
844,and he says here is your throat back
845,thanks for the loan
846,and you know something is happening
847,but you don t know what it is
848,do you mister jones
849,now you see this one eyed midget
850,shouting the word now
851,and you say for what reason
852,and he says how
853,and you say what does this mean
854,and he screams back you re a cow
855,give me some milk
856,or else go home
857,and you know something s happening
858,but you don t know what it is
859,do you mister jones
860,well you walk into the room
861,like a camel and then you frown
862,you put your eyes in your pocket
863,and your nose on the ground
864,there ought to be a law
865,against you comin around
866,you should be made
867,to wear earphones
868,cause something is happening
869,and you don t know what it is
870,do you mister jones
871,i ve got my back to the sun cause the light is too intense
872,i can see what everybody in the world is up against
873,can t turn back you can t come back sometimes we push too far
874,one day you ll open your eyes and you ll see where we are
875,sugar baby get on down the road you ain t got no brains nohow
876,you went years without me might as well keep goin now
877,some of these bootleggers they make pretty good stuff
878,plenty of places to hide things here if you want to hide them bad enough
879,i m staying with aunt sally but you know she not really my aunt
880,some of these memories you can learn to live with and some of em you can t
881,sugar baby get on down the line you ain t got no brains nohow
882,you went years without me might as well keep goin now
883,the ladies down in darktown they re doin the darktown strut
884,y always got to be prepared but you never know for what
885,there ain t no limit to the amount of trouble women bring
886,love is pleasing love is teasing love not an evil thing
887,sugar baby get on down the road you ain t got no brains nohow
888,you went years without me might as well keep goin now
889,every moment of existence seems like some dirty trick
890,happiness can come suddenly and leave just as quick
891,any minute of the day the bubble can burst
892,try to make things better for someone sometimes you just end up makin it thousand times worse
893,sugar baby get on down the road you ain t got no brains nohow
894,you went years without me might as well keep goin now
895,your charms have broken many a heart and mine is surely one
896,you got a way of tearin the world apart love see what you ve done
897,just as sure as we re livin just as sure as you re born
898,look up look up seek your maker for gabriel blows his horn
899,sugar baby get on down the line you ain t got no sense nohow
900,you went years without me might as well keep goin now
901,ring them bells ye heathen from the city that dreams
902,ring them bells from the sanctuaries cross the valleys and streams
903,for they re deep and they re wide
904,and the world on its side
905,and time is running backwards
906,and so is the bride
907,ring them bells saint peter where the four winds blow
908,ring them bells with an ironhand
909,so the people will know
910,oh it s rush hour now
911,on the wheel and the plow
912,and the sun is going down upon the sacred cow
913,ring them bells sweet martha for the poor man s son
914,ring them bells so the world will know that god is one
915,oh the shepherd is asleep
916,where the willows weep
917,and the mountains are filled with lost sheep
918,ring them bells for the blind and the deaf
919,ring them bells for all of us who are left
920,ring them bells for the chosen few
921,who will judge the many when the game is through
922,ring them bells for the time that flies
923,for the child that cries
924,when innocence dies
925,ring them bells saint catherine from the top of the room
926,ring them from the fortress for the lilies that bloom
927,oh the lines are long and the fighting is strong
928,and they re breaking down the distance between right and wrong
929,well you can tell everybody
930,down in ol frisco
931,tell em
932,tiny montgomery says hello
933,now every boy and girl s
934,gonna get their bang
935,cause tiny montgomery s
936,gonna shake that thing
937,tell everybody
938,down in ol frisco
939,that tiny montgomery s comin
940,down to say hello
941,skinny moo and halftrack frank
942,they re gonna both be gettin
943,outta the tank
944,one bird book
945,and a buzzard and a crow
946,tell em all
947,that tiny s gonna say hello
948,scratch your dad
949,do that bird
950,suck that pig
951,and bring it on home
952,pick that drip
953,and nose that dope
954,tell em all
955,that tiny says hello
956,now he s king of the drunks
957,an he squeezes too
958,watch out lester
959,take it lou
960,join the monks
961,the c i o
962,tell em all
963,that tiny montgomery says hello
964,now grease that pig
965,and sing praise
966,go on out
967,and gas that dog
968,trick on in
969,honk that stink
970,take it down
971,and watch it grow
972,play it low
973,and pick it up
974,take it on in
975,in a plucking cup
976,three legged man
977,and a hot lipped hoe
978,tell em all
979,montgomery says hello
980,well you can tell ev rybody
981,down in ol frisco
982,tell em all
983,montgomery says hello
984,got a little girl little and low
985,she used to love me but she don t no more
986,she gotta step it up and go yeah go
987,can t stand pat swear you gotta step it up and go
988,got a little girl she stays upstairs
989,make a livin by puttin on airs
990,gotta step it up and go yeah man
991,can t stand pat swear you gotta step it up and go
992,front door shut back door too
993,blinds pulled down what cha gonna do
994,gotta step it up and go yeah go
995,can t stand pat swear you gotta step it up and go
996,got a little girl her name is ball
997,give a little bit she took it all
998,i said step it up an go yeah man
999,can t stand pat swear you gotta step it up and go
1000,me an my baby walkin down the street
1001,tellin everybody bout the chief of police
1002,gotta step it up and go yeah go
1003,can t stand pat swear you gotta step it up and go
1004,tell my woman i ll see her at home
1005,ain t no lovin since she been gone
1006,gotta step it up and go yeah go
1007,can t stand pat swear you gotta step it up and go
1008,well i ll sing this verse aint gonna sing no more
1009,hear my gal call me and i got to go
1010,step it up an go yeah man
1011,can t stand pat swear you gotta step it up and go
1012,hey mr tambourine man play a song for me
1013,i m not sleepy and there is no place i m going to
1014,hey mr tambourine man play a song for me
1015,in the jingle jangle morning i ll come followin you
1016,though i know that evening s empire has returned into sand
1017,vanished from my hand
1018,left me blindly here to stand
1019,but still not sleeping
1020,my weariness amazes me i m branded on my feet
1021,i have no one to meet
1022,and the ancient empty street s too dead for dreaming
1023,hey mr tambourine man play a song for me
1024,i m not sleepy and there is no place i m going to
1025,hey mr tambourine man play a song for me
1026,in the jingle jangle morning i ll come followin you
1027,take me on a trip upon your magic swirlin ship
1028,my senses have been stripped
1029,my hands can t feel to grip
1030,my toes too numb to step
1031,wait only for my boot heels to be wanderin
1032,i m ready to go anywhere
1033,i m ready for to fade
1034,into my own parade
1035,cast your dancing spell my way
1036,i promise to go under it
1037,hey mr tambourine man play a song for me
1038,i m not sleepy and there is no place i m going to
1039,hey mr tambourine man play a song for me
1040,in the jingle jangle morning i ll come followin you
1041,though you might hear laughin spinnin swingin madly across the sun
1042,it s not aimed at anyone
1043,it s just escapin on the run
1044,and but for the sky there are no fences facin
1045,and if you hear vague traces of skippin reels of rhyme
1046,to your tambourine in time
1047,it s just a ragged clown behind
1048,i wouldn t pay it any mind
1049,it s just a shadow you re seein that he s chasing
1050,hey mr tambourine man play a song for me
1051,i m not sleepy and there is no place i m going to
1052,hey mr tambourine man play a song for me
1053,in the jingle jangle morning i ll come followin you
1054,and take me disappearing through the smoke rings of my mind
1055,down the foggy ruins of time
1056,far past the frozen leaves
1057,the haunted frightened trees
1058,out to the windy beach
1059,far from the twisted reach
1060,of crazy sorrow
1061,yes to dance beneath the diamond sky with one hand waving free
1062,silhouetted by the sea
1063,circled by the circus sands
1064,with all memory and fate
1065,driven deep beneath the waves
1066,let me forget about today
1067,until tomorrow
1068,hey mr tambourine man play a song for me
1069,i m not sleepy and there is no place i m going to
1070,hey mr tambourine man play a song for me
1071,in the jingle jangle morning i ll come followin you
1072,when somebody loves you
1073,it s no good unless he loves you all the way
1074,happy to be near you
1075,when you need someone to cheer you all the way
1076,taller than the tallest tree is
1077,that s how it s got to feel
1078,deeper than the deep blue sea is
1079,that s how deep it goes if it s real
1080,when somebody needs you
1081,it s no good unless she needs you all the way
1082,through the good or lean years
1083,and for all those in between years come what may
1084,who knows where the road will lead us
1085,only a fool would say
1086,but if you ll let me love you
1087,it s for sure i m gonna love you all the way all the way
1088,and when somebody needs you
1089,it s no good unless she needs you all the way
1090,and through the good or lean years
1091,and for all those in between years come what may
1092,who knows where the road will lead us
1093,only a fool would say
1094,but if you ll let me love you
1095,it s for sure i m gonna love you all the way all the way
1096,one dream in my heart one love to be living for
1097,one love to be living for this nearly was mine
1098,one girl for my dream one partner in paradise
1099,this promise of paradise this nearly was mine
1100,close to my heart she came only to fly away
1101,only to fly as day flies from moonlight
1102,now now i m alone still dreaming of paradise
1103,still saying that paradise once nearly was mine
1104,i woke up this mornin
1105,there were tears in my bed
1106,they killed a man i really loved
1107,shot him through the head
1108,lord lord
1109,they cut george jackson down
1110,lord lord
1111,they laid him in the ground
1112,sent him off to prison
1113,for a seventy dollar robbery
1114,closed the door behind him
1115,and they threw away the key
1116,lord lord
1117,they cut george jackson down
1118,lord lord
1119,they laid him in the ground
1120,he wouldn t take shit from no one
1121,he wouldn t bow down or kneel
1122,authorities they hated him
1123,because he was just too real
1124,lord lord
1125,they cut george jackson down
1126,lord lord
1127,they laid him in the ground
1128,prison guards they cursed him
1129,as they watched him from above
1130,but they were frightened of his power
1131,they were scared of his love
1132,lord lord
1133,so they cut george jackson down
1134,lord lord
1135,they laid him in the ground
1136,sometimes i think this whole world
1137,is one big prison yard
1138,some of us are prisoners
1139,the rest of us are guards
1140,lord lord
1141,they cut george jackson down
1142,lord lord
1143,they laid him in the ground
1144,don t wanna judge nobody don t wanna be judged
1145,don t wanna touch nobody don t wanna be touched
1146,don t wanna hurt nobody don t wanna be hurt
1147,don t wanna treat nobody like they was dirt
1148,but if you do right to me baby
1149,i ll do right to you too
1150,ya got to do unto others
1151,like you d have them like you d have them do unto you
1152,don t wanna shoot nobody don t wanna be shot
1153,don t wanna buy nobody don t wanna be bought
1154,don t wanna bury nobody don t wanna be buried
1155,don t wanna marry nobody if they re already married
1156,but if you do right to me baby
1157,i ll do right to you too
1158,ya got to do unto others
1159,like you d have them like you d have them do unto you
1160,don t wanna burn nobody don t wanna be burned
1161,don t wanna learn from nobody what i gotta unlearn
1162,don t wanna cheat nobody don t wanna be cheated
1163,don t wanna defeat nobody if they already been defeated
1164,but if you do right to me baby
1165,i ll do right to you too
1166,ya got to do unto others
1167,like you d have them like you d have them do unto you
1168,don t wanna wink at nobody don t wanna be winked at
1169,don t wanna be used by nobody for a doormat
1170,don t wanna confuse nobody don t wanna be confused
1171,don t wanna amuse nobody don t wanna be amused
1172,but if you do right to me baby
1173,i ll do right to you too
1174,ya got to do unto others
1175,like you d have them like you d have them do unto you
1176,don t wanna betray nobody don t wanna be betrayed
1177,don t wanna play with nobody don t wanna be waylaid
1178,don t wanna miss nobody don t wanna be missed
1179,don t put my faith in nobody not even a scientist
1180,peggy day stole my poor heart away
1181,by golly what more can i say
1182,love to spend the night with peggy day
1183,peggy might makes my future look so bright
1184,man that girl is ought of sight
1185,love to spend the day with peggy night
1186,well you know that even before i learned her name
1187,you know i loved her just the same
1188,and i tell them all wherever i may go
1189,just so they ll know that she s my little lady
1190,and i love her so
1191,peggy day stole my poor heart away
1192,turned my skies to blue from gray
1193,love to spend the night with peggy day
1194,peggy day stole my poor heart away
1195,by golly what more can i say
1196,love to spend the night with peggy day
1197,love to spend the night with peggy day
1198,braggin
1199,wastin all your time just braggin
1200,when ya should be busy
1201,plowin and a plantin
1202,you stand there a rantin
1203,get no harvest your heart
1204,braggin
1205,you ain t got no cause for braggin
1206,when your barn needs mendin
1207,and your lawn needs mowin
1208,how come you re a crowin
1209,like a no good rooster at dawn
1210,braggin bout your fishin
1211,bout your horseshoe pitchin
1212,bet you always keep the score
1213,talkin bout your meddle
1214,that s the kind they peddle
1215,down at the and store
1216,braggin
1217,folks ain t got no use for braggin
1218,if your fields are greener
1219,folks will hear about it
1220,you don t hafta shout it
1221,fields were greener fore you were born
1222,x
1223,i m a fool to want you
1224,i m a fool to want you
1225,to want a love that can t be true
1226,a love that s there for others too
1227,i m a fool to hold you
1228,such a fool to hold you
1229,to seek a kiss not mine alone
1230,to share a kiss that devil has known
1231,time and time again i said i d leave you
1232,time and time again i went away
1233,but then would come the time when i would need you
1234,and once again these words i had to say
1235,take me back i love you
1236,i need you
1237,i know it s wrong it must be wrong
1238,but right or wrong i can t get along
1239,without you
1240,i pity the poor immigrant
1241,who wishes he would ve stayed home
1242,who uses all his power to do evil
1243,but in the end is always left so alone
1244,that man whom with his fingers cheats
1245,and who lies with ev ry breath
1246,who passionately hates his life
1247,and likewise fears his death
1248,i pity the poor immigrant
1249,whose strength is spent in vain
1250,whose heaven is like ironsides
1251,whose tears are like rain
1252,who eats but is not satisfied
1253,who hears but does not see
1254,who falls in love with wealth itself
1255,and turns his back on me
1256,i pity the poor immigrant
1257,who tramples through the mud
1258,who fills his mouth with laughing
1259,and who builds his town with blood
1260,whose visions in the final end
1261,must shatter like the glass
1262,i pity the poor immigrant
1263,when his gladness comes to pass
1264,they re selling postcards of the hanging
1265,they re painting the passports brown
1266,the beauty parlor is filled with sailors
1267,the circus is in town
1268,here comes the blind commissioner
1269,they ve got him in a trance
1270,one hand is tied to the tight rope walker
1271,the other is in his pants
1272,and the riot squad they re restless
1273,they need somewhere to go
1274,as lady and i look out tonight
1275,from desolation row
1276,cinderella she seems so easy
1277,it takes one to know one she smiles
1278,and puts her hands in her back pockets
1279,bette davis style
1280,and in comes romeo he s moaning
1281,you belong to me i believe
1282,and someone says you re in the wrong place my friend
1283,you d better leave
1284,and the only sound that s left
1285,after the ambulances go
1286,is cinderella sweeping up
1287,on desolation row
1288,now the moon is almost hidden
1289,the stars are beginning to hide
1290,the fortune telling lady
1291,has even taken all her things inside
1292,all except for cain and abel
1293,and the hunchback of notre dame
1294,everybody is making love
1295,or else expecting rain
1296,and the good samaritan he s dressing
1297,he s getting ready for the show
1298,he s going to the carnival tonight
1299,on desolation row
1300,ophelia she s neath the window
1301,for her i feel so afraid
1302,on her twenty second birthday
1303,she already is an old maid
1304,to her death is quite romantic
1305,she wears an iron vest
1306,her profession s her religion
1307,her sin is her lifelessness
1308,and though her eyes are fixed upon
1309,noah s great rainbow
1310,she spends her time peeking
1311,into desolation row
1312,einstein disguised as robin hood
1313,with his memories in a trunk
1314,passed this way an hour ago
1315,with his friend a jealous monk
1316,now he looked so immaculately frightful
1317,as he bummed a cigarette
1318,then he went off sniffing drainpipes
1319,and reciting the alphabet
1320,you would not think to look at him
1321,but he was famous long ago
1322,for playing the electric violin
1323,on desolation row
1324,dr filth he keeps his world
1325,inside of a leather cup
1326,but all his sexless patients
1327,they are trying to blow it up
1328,now his nurse some local loser
1329,she s in charge of the cyanide hole
1330,and she also keeps the cards that read
1331,have mercy on his soul
1332,they all play on the penny whistle
1333,you can hear them blow
1334,if you lean your head out far enough
1335,from desolation row
1336,across the street they ve nailed the curtains
1337,they re getting ready for the feast
1338,the phantom of the opera
1339,in a perfect image of a priest
1340,they are spoon feeding casanova
1341,to get him to feel more assured
1342,then they ll kill him with self confidence
1343,after poisoning him with words
1344,and the phantom s shouting to skinny girls
1345,get outta here if you don t know
1346,casanova is just being punished for going
1347,to desolation row
1348,at midnight all the agents
1349,and the superhuman crew
1350,come out and round up everyone
1351,that knows more than they do
1352,then they bring them to the factory
1353,where the heart attack machine
1354,is strapped across their shoulders
1355,and then the kerosene
1356,is brought down from the castles
1357,by insurance men who go
1358,check to see that nobody is escaping
1359,to desolation row
1360,praise be to nero s neptune
1361,the titanic sails at dawn
1362,everybody s shouting
1363,which side are you on
1364,and ezra pound and t s eliot
1365,fighting in the captain s tower
1366,while calypso singers laugh at them
1367,and fishermen hold flowers
1368,between the windows of the sea
1369,where lovely mermaids flow
1370,and nobody has to think too much
1371,about desolation row
1372,yes i received your letter yesterday
1373,about the time the door knob broke
1374,when you asked me how i was doing
1375,or was that some kind of joke
1376,all these people that you mention
1377,yes i know them they re quite lame
1378,i had to rearrange their faces
1379,and give them all another name
1380,right now i can t read too good
1381,don t send me no more letters no
1382,not unless you mail them
1383,from desolation row
1384,crash on the levee mama
1385,water s gonna overflow
1386,swamp s gonna rise
1387,no boat s gonna row
1388,now you can train on down
1389,to williams point
1390,you can bust your feet
1391,you can rock this joint
1392,but oh mama ain t you gonna miss your best friend now
1393,you re gonna have to find yourself
1394,another best friend somehow
1395,now don t you try an move me
1396,you re just gonna lose
1397,there s a crash on the levee
1398,and mama you ve been refused
1399,well it s sugar for sugar
1400,and salt for salt
1401,if you go down in the flood
1402,it s gonna be your own fault
1403,oh mama ain t you gonna miss your best friend now
1404,you re gonna have to find yourself
1405,another best friend somehow
1406,well that high tide s risin
1407,mama don t you let me down
1408,pack up your suitcase
1409,mama don t you make a sound
1410,now it s king for king
1411,queen for queen
1412,it s gonna be the meanest flood
1413,that anybody s seen
1414,oh mama ain t you gonna miss your best friend now
1415,you re gonna have to find yourself
1416,another best friend somehow
1417,you go to my head and you linger like a haunting refrain
1418,and i find you spinning round in my brain
1419,like the bubbles in a glass of champagne
1420,you go to my head like a sip of sparkling burgundy brew
1421,and i find the very mention of you
1422,like the kicker in a julep or two
1423,the thrill of the thought that you might give a thought to my plea
1424,cast a spell over me
1425,still i say to myself get a hold of yourself
1426,can t you see that it never can be
1427,you go to my head with a smile that makes my temperature rise
1428,like a summer with a thousand july s
1429,you intoxicate my soul with your eyes
1430,though i m certain that this heart of mine
1431,hasn t a ghost of a chance in this crazy romance
1432,you go to my head
1433,you go to my head
1434,trust yourself
1435,trust yourself to do the things that only you know best
1436,trust yourself
1437,trust yourself to do what s right and not be second guessed
1438,don t trust me to show you beauty
1439,when beauty may only turn to rust
1440,if you need somebody you can trust trust yourself
1441,trust yourself
1442,trust yourself to know the way that will prove true in the end
1443,trust yourself
1444,trust yourself to find the path where there is no if and when
1445,don t trust me to show you the truth
1446,when the truth may only be ashes and dust
1447,if you want somebody you can trust trust yourself
1448,well you re on your own you always were
1449,in a land of wolves and thieves
1450,don t put your hope in ungodly man
1451,or be a slave to what somebody else believes
1452,trust yourself
1453,and you won t be disappointed when vain people let you down
1454,trust yourself
1455,and look not for answers where no answers can be found
1456,don t trust me to show you love
1457,when my love may be only lust
1458,if you want somebody you can trust trust yourself
1459,you you got to trust yourself
1460,delia was a gambling girl gambled all around
1461,delia was a gambling girl she laid her money down
1462,all the friends i ever had are gone
1463,delia s dear ol mother took a trip out west
1464,when she returned little delia d gone to rest
1465,all the friends i ever had are gone
1466,delia s daddy weeped delia s momma moaned
1467,wouldn t have been so bad if the poor girl died at home
1468,all the friends i ever had are gone
1469,curtis s looking high curtis s looking low
1470,he shot poor delia down with a cruel forty four
1471,all the friends i ever had are gone
1472,high upon the housetops high as i can see
1473,looking for them rounders looking out for me
1474,all the friends i ever had are gone
1475,men in atlanta trying to pass for white
1476,delia s in the graveyard boys six feet out of sight
1477,all the friends i ever had are gone
1478,judge says to curtis what s this noise about
1479,all about them rounders judge tryin to cut me out
1480,all the friends i ever had are gone
1481,curtis said to the judge what might be my fine
1482,judge says poor boy you got ninety nine
1483,all the friends i ever had are gone
1484,curtis in the jailhouse drinking from an old tin cup
1485,delia s in the graveyard she ain t gettin up
1486,all the friends i ever had are gone
1487,delia oh delia how can it be
1488,you loved all them rounders never did love me
1489,all the friends i ever had are gone
1490,delia oh delia how could it be
1491,you wanted all them rounders never had time for me
1492,all the friends i ever had are gone
1493,where are you
1494,where have you gone without me
1495,i thought you cared about me
1496,where are you
1497,where s my heart
1498,where is the dream we started
1499,i can t believe we re parted
1500,where are you
1501,when we said good bye love
1502,what had we to gain
1503,when i gave you my love
1504,was it all in vain
1505,all life through
1506,must i go on pretending
1507,where is my happy ending
1508,where are you
1509,when we said good bye love
1510,what had we to gain
1511,when i gave you my love
1512,was it all in vain
1513,all life through
1514,must i go on pretending
1515,where is that happy ending
1516,where are you
1517,where are you
1518,oh help me in my weakness
1519,i heard the drifter say
1520,as they carried him from the courtroom
1521,and were taking him away
1522,my trip hasn t been a pleasant one
1523,and my time it isn t long
1524,and i still do not know
1525,what it was that i ve done wrong
1526,well the judge he cast his robe aside
1527,a tear came to his eye
1528,you failed to understand he said
1529,why must you even try
1530,outside the crowd was stirring
1531,you could hear it from the door
1532,inside the judge was stepping down
1533,while the jury cried for more
1534,oh stop that cursed jury
1535,cried the attendant and the nurse
1536,the trial was bad enough
1537,but this is ten times worse
1538,just then a bolt of lightning
1539,struck the courthouse out of shape
1540,and while ev rybody knelt to pray
1541,the drifter did escape
1542,listen to that duquesne whistle blowing
1543,blowing like it s gonna sweep my world away
1544,i wanna stop at carbondale and keep on going
1545,that duquesne train gon rock me night and day
1546,you say i m a gambler you say i m a pimp
1547,but i ain t neither one
1548,listen to that duquesne whistle blowing
1549,sounding like it s on a final run
1550,listen to that duquesne whistle blowing
1551,blowing like she never blowed before
1552,little light blinking red light glowing
1553,blowing like she s at my chamber door
1554,you smiling through the fence at me
1555,just like you always smiled before
1556,listen to that duquesne whistle blowing
1557,blowing like she ain t gon blow no more
1558,can t you hear that duquesne whistle blowing
1559,blowing like the sky s gonna blow apart
1560,you re the only thing alive that keeps me going
1561,you re like a time bomb in my heart
1562,i can hear a sweet voice steadily calling
1563,must be the mother of our lord
1564,listen to that duquesne whistle blowing
1565,blowing like my woman s on board
1566,listen to that duquesne whistle blowing
1567,blowing like it s gon blow my blues away
1568,you old rascal i know exactly where you re going
1569,i ll lead you there myself at the break of day
1570,i wake up every morning with that woman in my bed
1571,everybody telling me she s gone to my head
1572,listen to that duquesne whistle blowing
1573,blowing like it s gon kill me dead
1574,can t you hear that duquesne whistle blowing
1575,blowing through another no good town
1576,the lights of my native land are glowing
1577,i wonder if they ll know me next time round
1578,i wonder if that old oak tree s still standing
1579,that old oak tree the one we used to climb
1580,listen to that duquesne whistle blowing
1581,blowing like she s blowing right on time
1582,well i told my baby
1583,i said baby i know where you been
1584,well i know who you are
1585,and what league you played in
1586,you wanna ramble
1587,to the break of dawn
1588,you wanna ramble
1589,to the break of dawn
1590,you wanna ramble
1591,to the break of dawn
1592,well the night is so empty
1593,so quit and still
1594,for only fifteen hundred dollars
1595,you can have anybody killed
1596,you wanna ramble
1597,to the break of dawn
1598,you wanna ramble
1599,to the break of dawn
1600,you wanna ramble
1601,to the break of dawn
1602,well i told my baby
1603,further down the line
1604,i said what happens tomorrow
1605,is on your head not mine
1606,you wanna ramble
1607,to the break of dawn
1608,you wanna ramble
1609,to the break of dawn
1610,you wanna ramble
1611,to the break of dawn
1612,he sits in your room his tomb with a fist full of tacks
1613,preoccupied with his vengeance
1614,cursing the dead that can t answer him back
1615,i m sure that he has no intentions
1616,of looking your way unless it s to say
1617,that he needs you to test his inventions
1618,can you please crawl out your window
1619,use your arms and legs it won t ruin you
1620,how can you say he will haunt you
1621,you can go back to him any time you want to
1622,he looks so truthful is this how he feels
1623,trying to peel the moon and expose it
1624,with his businesslike anger and his bloodhounds that kneel
1625,if he needs a third eye he just grows it
1626,he just needs you to talk or to hand him his chalk
1627,or pick it up after he throws it
1628,can you please crawl out your window
1629,use your arms and legs it won t ruin you
1630,how can you say he will haunt you
1631,you can go back to him any time you want to
1632,why does he look so righteous while your face is so changed
1633,are you frightened of the box you keep him in
1634,while his genocide fools and his friends rearrange
1635,their religion of the little tin women
1636,that backs up their views but your face is so bruised
1637,come on out the dark is beginning
1638,can you please crawl out your window
1639,use your arms and legs it won t ruin you
1640,how can you say he will haunt you
1641,you can go back to him any time you want to
1642,i once loved a girl her skin it was bronze
1643,with the innocence of a lamb she was gentle like a fawn
1644,i courted her proudly but now she is gone
1645,gone as the season she s taken
1646,through young summer s breeze i stole her away
1647,from her mother and sister though close did they stay
1648,each one of them suffering from the failures of their day
1649,with strings of guilt they tried hard to guide us
1650,of the two sister i loved the young
1651,with sensitive instincts she was the creative one
1652,the constant scapegoat she was easily undone
1653,by the jealousy of others around her
1654,for her parasite sister i had no respect
1655,bound by her boredom her pride to protect
1656,countless visions of the other she d reflect
1657,as a crutch for her scenes and her society
1658,myself for what i did i cannot be excused
1659,the changes i was going through can t even be used
1660,for the lies that i told her in hopes not to lose
1661,the could be dream lover of my lifetime
1662,with unseen consciousness i possessed in my grip
1663,a magnificent mantelpiece though its heart being chipped
1664,noticing not that i d already slipped
1665,to a sin of love s false security
1666,from silhouetted anger to manufactured peace
1667,answers of emptiness voice vacancies
1668,till the tombstones of damage read me no question but please
1669,what s wrong and what s exactly the matter
1670,and so it did happen like it could have been foreseen
1671,the timeless explosion of fantasy s dream
1672,at the peak of the night the king and the queen
1673,tumbled all down into pieces
1674,the tragic figure her sister did shout
1675,leave her alone god damn you get out
1676,and i in my armor turning about
1677,and nailing her in the ruins of her pettiness
1678,beneath a bare light bulb the plaster did pound
1679,her sister and i in a screaming battleground
1680,and she in between the victim of sound
1681,soon shattered as a child to the shadows
1682,all is gone all is gone admit it take flight
1683,i gagged in contradiction tears blinding my sight
1684,my mind it was mangled i ran into the night
1685,leaving all of love s ashes behind me
1686,the wind knocks my window the room it is wet
1687,the words to say i m sorry i haven t found yet
1688,i think of her often and hope whoever she s met
1689,will be fully aware of how precious she is
1690,ah my friends from the prison they ask unto me
1691,how good how good does it feel to be free
1692,and i answer them most mysteriously
1693,are birds free from the chains of the skyway
1694,well it s all of a fair and a handsome girl
1695,she s all in her tender years
1696,she fell in love with a sailor boy
1697,it s true she loved him well
1698,for to go off to sea with him
1699,like she did not now how
1700,she longed to see that seaport town
1701,of canadee i o
1702,so he bargained with the sailor boy
1703,all for a piece of gold
1704,straightaway then he led her
1705,down into the hold
1706,sayin i ll dress you up in sailor s clothes
1707,your jacket shall be blue
1708,you ll see that seaport town
1709,of canadee i o
1710,now when the other sailors heard the news
1711,well they fell into a rage
1712,and with all the ship s company
1713,they were willing to engage
1714,sayin we ll tie her hands and feet my boys
1715,overboard we ll throw her
1716,she ll never see that seaport town
1717,called canadee i o
1718,now when the captain he heard the news
1719,well he too fell in rage
1720,and with the whole ships company
1721,he was willing to engage
1722,sayin she ll stay all in sailor s clothes
1723,her color shall be blue
1724,she ll see that seaport town
1725,called canadee i o
1726,now when they come down to canada
1727,scarcely bout half a year
1728,she s married this bold captain
1729,who called her his dear
1730,she s dressed in silks and satins now
1731,she cuts a gallant show
1732,finest of the ladies
1733,down canadee i o
1734,come all you fair and tender girls
1735,wheresoever you may bee
1736,i d have you to follow your own true love
1737,whene er he goes to sea
1738,for the sailors prove false to you
1739,well the captain he might prove true
1740,you ll see the honor i have gained
1741,by the wearing of the blue
